time,datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1680382800000,2023-04-02 00:00:00,17.747,17.829,17.701,17.741,243759.0,1680386399999,4333989.963,12224,124203.0,2208588.085
1680386400000,2023-04-02 01:00:00,17.74,17.835,17.736,17.819,164915.0,1680389999999,2934934.184,9008,84311.0,1500349.127
1680390000000,2023-04-02 02:00:00,17.819,17.838,17.746,17.788,169317.0,1680393599999,3013061.03,7552,74332.0,1322934.79
1680393600000,2023-04-02 03:00:00,17.788,17.849,17.62,17.634,318588.0,1680397199999,5650215.362,12643,147537.0,2615612.665
1680397200000,2023-04-02 04:00:00,17.633,17.675,17.619,17.622,166910.0,1680400799999,2945274.428,7991,83020.0,1464968.958
1680400800000,2023-04-02 05:00:00,17.624,17.661,17.575,17.633,118662.0,1680404399999,2091350.474,6234,52255.0,921186.886
1680404400000,2023-04-02 06:00:00,17.633,17.765,17.606,17.708,171486.0,1680407999999,3034873.958,7301,78221.0,1383552.241
1680408000000,2023-04-02 07:00:00,17.708,17.734,17.641,17.645,122126.0,1680411599999,2159564.309,6070,46716.0,826055.067
1680411600000,2023-04-02 08:00:00,17.645,17.744,17.641,17.715,98802.0,1680415199999,1749111.589,5292,47117.0,834080.095
1680415200000,2023-04-02 09:00:00,17.717,17.76,17.704,17.72,79637.0,1680418799999,1411947.693,4743,42130.0,746970.082
1680418800000,2023-04-02 10:00:00,17.72,17.748,17.681,17.716,111322.0,1680422399999,1972237.63,6351,50438.0,893486.517
1680422400000,2023-04-02 11:00:00,17.715,17.728,17.616,17.642,170838.0,1680425999999,3018741.734,8143,80445.0,1421253.015
1680426000000,2023-04-02 12:00:00,17.642,17.799,17.641,17.766,173609.0,1680429599999,3078569.785,7710,94603.0,1677432.919
1680429600000,2023-04-02 13:00:00,17.766,17.777,17.709,17.737,130138.0,1680433199999,2309100.116,6121,71987.0,1277353.397
1680433200000,2023-04-02 14:00:00,17.736,17.736,17.683,17.708,125146.0,1680436799999,2216250.284,5637,58541.0,1036717.088
1680436800000,2023-04-02 15:00:00,17.709,17.729,17.6,17.623,203187.0,1680440399999,3588857.953,8443,89374.0,1578685.597
1680440400000,2023-04-02 16:00:00,17.624,17.624,17.451,17.551,459273.0,1680443999999,8057632.154,15812,204601.0,3589173.166
1680444000000,2023-04-02 17:00:00,17.552,17.576,17.474,17.478,169536.0,1680447599999,2971352.632,8129,78197.0,1370703.151
1680447600000,2023-04-02 18:00:00,17.478,17.478,17.202,17.356,818699.0,1680451199999,14168420.498,28242,377029.0,6523822.518
1680451200000,2023-04-02 19:00:00,17.355,17.356,17.15,17.26,508090.0,1680454799999,8768774.053,17396,226063.0,3901861.791
1680454800000,2023-04-02 20:00:00,17.26,17.402,17.243,17.346,243537.0,1680458399999,4220759.53,11109,124186.0,2152203.769
1680458400000,2023-04-02 21:00:00,17.346,17.368,17.287,17.289,120658.0,1680461999999,2090896.854,7049,66409.0,1150749.767
1680462000000,2023-04-02 22:00:00,17.29,17.293,17.05,17.15,406812.0,1680465599999,6984249.745,16278,191669.0,3291084.115
1680465600000,2023-04-02 23:00:00,17.151,17.249,17.114,17.238,179465.0,1680469199999,3083635.629,9089,95736.0,1644845.452
1680469200000,2023-04-03 00:00:00,17.238,17.285,17.204,17.205,157300.0,1680472799999,2713144.956,7069,74599.0,1286770.674
1680472800000,2023-04-03 01:00:00,17.205,17.274,17.075,17.247,301452.0,1680476399999,5173951.159,11770,138231.0,2371572.14
1680476400000,2023-04-03 02:00:00,17.248,17.275,17.184,17.239,166156.0,1680479999999,2863927.386,7732,80719.0,1391301.829
1680480000000,2023-04-03 03:00:00,17.239,17.258,17.128,17.23,211091.0,1680483599999,3630512.17,10299,106277.0,1827593.766
1680483600000,2023-04-03 04:00:00,17.231,17.258,16.765,16.918,666154.0,1680487199999,11297168.086,25073,275133.0,4666305.829
1680487200000,2023-04-03 05:00:00,16.92,16.93,16.845,16.891,315401.0,1680490799999,5326562.919,14576,136499.0,2304940.678
1680490800000,2023-04-03 06:00:00,16.892,16.958,16.844,16.939,183596.0,1680494399999,3102677.313,9222,94169.0,1591762.006
1680494400000,2023-04-03 07:00:00,16.938,16.947,16.863,16.947,146754.0,1680497999999,2481735.561,7468,63248.0,1069533.968
1680498000000,2023-04-03 08:00:00,16.946,16.989,16.917,16.934,171065.0,1680501599999,2899368.003,5909,86309.0,1462557.426
1680501600000,2023-04-03 09:00:00,16.934,16.993,16.901,16.989,150002.0,1680505199999,2541307.269,6989,64958.0,1100677.83
1680505200000,2023-04-03 10:00:00,16.99,17.134,16.971,17.126,343268.0,1680508799999,5854043.239,12416,172619.0,2943810.253
1680508800000,2023-04-03 11:00:00,17.126,17.381,17.114,17.341,649300.0,1680512399999,11223160.743,26443,346000.0,5981368.859
1680512400000,2023-04-03 12:00:00,17.341,17.385,17.309,17.321,341815.0,1680515999999,5929492.424,13806,166461.0,2887722.433
1680516000000,2023-04-03 13:00:00,17.322,17.366,17.241,17.248,304472.0,1680519599999,5268494.186,11802,150459.0,2603817.805
1680519600000,2023-04-03 14:00:00,17.249,17.272,17.209,17.243,178318.0,1680523199999,3074903.365,8653,82369.0,1420439.62
1680523200000,2023-04-03 15:00:00,17.243,17.262,17.156,17.23,229238.0,1680526799999,3947207.369,10003,114592.0,1973181.978
1680526800000,2023-04-03 16:00:00,17.23,17.376,17.215,17.293,277766.0,1680530399999,4800056.735,12370,145453.0,2513697.941
1680530400000,2023-04-03 17:00:00,17.294,17.324,17.084,17.118,322685.0,1680533999999,5550353.8,14408,152855.0,2629667.584
1680534000000,2023-04-03 18:00:00,17.119,17.228,17.064,17.192,274270.0,1680537599999,4700245.138,13118,138929.0,2381124.466
1680537600000,2023-04-03 19:00:00,17.192,17.24,17.11,17.115,216091.0,1680541199999,3711675.782,10535,93960.0,1613887.448
1680541200000,2023-04-03 20:00:00,17.115,17.285,17.07,17.22,392292.0,1680544799999,6743444.129,15236,198816.0,3417965.345
1680544800000,2023-04-03 21:00:00,17.221,17.45,17.08,17.371,926178.0,1680548399999,16003672.365,35821,466493.0,8064215.44
1680548400000,2023-04-03 22:00:00,17.37,17.448,17.222,17.278,389118.0,1680551999999,6747732.054,15583,182382.0,3162815.197
1680552000000,2023-04-03 23:00:00,17.278,17.313,16.797,16.853,1262573.0,1680555599999,21382792.53,45131,552935.0,9365421.6
1680555600000,2023-04-04 00:00:00,16.852,16.997,16.614,16.985,617118.0,1680559199999,10368209.497,24303,287034.0,4824896.171
1680559200000,2023-04-04 01:00:00,16.984,17.142,16.964,17.119,380138.0,1680562799999,6493690.201,15506,192891.0,3295321.321
1680562800000,2023-04-04 02:00:00,17.118,17.197,17.073,17.095,253718.0,1680566399999,4345787.726,11541,117946.0,2020383.868
1680566400000,2023-04-04 03:00:00,17.094,17.14,16.969,17.0,288655.0,1680569999999,4922069.094,12766,134982.0,2301994.3
